┏━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━┓
┃ Check ┃ Frequency [Hz] ┃      Fs [Hz] ┃ Samples ┃ Samples x period ┃ Periods ┃ Rms Value [V] ┃ Real Voltage ┃    R.E. ┃           Time ┃
┡━━━━━━━╇━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━┩
│  ✅️   │       10.00000 │     40.89624 │     126 │             4.09 │  30.810 │       0.70858 │      0.70711 │   0.208 │ 0:00:01.197471 │
│  ✅️   │       10.00000 │     40.89624 │     251 │             4.09 │  61.375 │       0.71039 │      0.70711 │   0.465 │ 0:00:01.694521 │
│  ✅️   │       10.00000 │     40.89624 │     501 │             4.09 │ 122.505 │       0.70500 │      0.70711 │  -0.297 │ 0:00:02.610080 │
│  ✅️   │       10.00000 │     40.89624 │    1000 │             4.09 │ 244.521 │       0.70747 │      0.70711 │   0.052 │ 0:00:04.463665 │
│  ❌️   │       10.00000 │     48.90426 │       2 │             4.89 │   0.409 │       0.82266 │      0.70711 │  16.341 │ 0:00:00.775171 │
│  ❌️   │       10.00000 │     48.90426 │       4 │             4.89 │   0.818 │       0.66820 │      0.70711 │  -5.502 │ 0:00:00.741755 │
│  ❌️   │       10.00000 │     48.90426 │       8 │             4.89 │   1.636 │       0.63469 │      0.70711 │ -10.241 │ 0:00:00.777366 │
│  ❌️   │       10.00000 │     48.90426 │      16 │             4.89 │   3.272 │       0.69134 │      0.70711 │  -2.229 │ 0:00:00.801203 │
│  ❌️   │       10.00000 │     48.90426 │      32 │             4.89 │   6.543 │       0.66226 │      0.70711 │  -6.342 │ 0:00:00.893372 │
│  ✅️   │       10.00000 │     48.90426 │      63 │             4.89 │  12.882 │       0.71551 │      0.70711 │   1.188 │ 0:00:00.993099 │
│  ❌️   │       10.00000 │     48.90426 │     126 │             4.89 │  25.765 │       0.69648 │      0.70711 │  -1.503 │ 0:00:01.204418 │
│  ✅️   │       10.00000 │     48.90426 │     251 │             4.89 │  51.325 │       0.70880 │      0.70711 │   0.239 │ 0:00:01.683675 │
│  ✅️   │       10.00000 │     48.90426 │     501 │             4.89 │ 102.445 │       0.70808 │      0.70711 │   0.138 │ 0:00:02.616724 │
│  ✅️   │       10.00000 │     48.90426 │    1000 │             4.89 │ 204.481 │       0.70749 │      0.70711 │   0.054 │ 0:00:04.484599 │
│  ❌️   │       10.00000 │     58.48035 │       2 │             5.85 │   0.342 │       0.79594 │      0.70711 │  12.563 │ 0:00:00.775758 │
│  ❌️   │       10.00000 │     58.48035 │       4 │             5.85 │   0.684 │       0.89719 │      0.70711 │  26.882 │ 0:00:00.751436 │
│  ❌️   │       10.00000 │     58.48035 │       8 │             5.85 │   1.368 │       0.86668 │      0.70711 │  22.567 │ 0:00:00.764888 │
